expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 5.999391555786133, real_ur: 5.806480884552002
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.057211875915527, real_ur: 6.720532417297363
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.0511579513549805, real_ur: 6.705118179321289
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.058972358703613, real_ur: 6.689208507537842
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.056346416473389, real_ur: 6.682128429412842
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.056057929992676, real_ur: 6.6669487953186035
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.052597999572754, real_ur: 6.66579532623291
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.054413795471191, real_ur: 6.677644729614258
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.050236701965332, real_ur: 6.6708855628967285
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.0447998046875, real_ur: 6.682782173156738
expected_ul: 5.978557849447959, expected_ur: 7.3618317019176835, pwm_l: 69.51811452846465, pwm_r: 85.60269420834516, real_ul: 6.04548978805542, real_ur: 6.689089298248291
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.9169158935546875, real_ur: 6.950928211212158
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.918826580047607, real_ur: 6.936681270599365
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.914910316467285, real_ur: 6.947939395904541
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.918635368347168, real_ur: 6.950863838195801
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.920866012573242, real_ur: 6.9294514656066895
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.921121120452881, real_ur: 6.937129497528076
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.9221415519714355, real_ur: 6.923480987548828
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.916024208068848, real_ur: 6.918030261993408
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.920642852783203, real_ur: 6.935112476348877
expected_ul: 7.897156744012949, expected_ur: 7.972813186531199, pwm_l: 91.82740400015058, pwm_r: 92.70713007594418, real_ul: 6.919973850250244, real_ur: 6.924214839935303
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.053878307342529, real_ur: 5.933873176574707
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.061495780944824, real_ur: 5.951455116271973
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.075064182281494, real_ur: 5.990826606750488
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.068949222564697, real_ur: 5.980681896209717
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.0688090324401855, real_ur: 5.972702980041504
expected_ul: 4.510424753146376, expected_ur: 5.848267008397068, pwm_l: 52.446799455190416, pwm_r: 68.00310474880311, real_ul: 5.072977066040039, real_ur: 5.951288223266602
